Title,Author,Genre,SubGenre,Height,Publisher
Fundamentals of Wavelets,"Goswami, Jaideva",tech,signal_processing,228,Wiley
Data Smart,"Foreman, John",tech,data_science,235,Wiley
God Created the Integers,"Hawking, Stephen",tech,mathematics,197,Penguin
Superfreakonomics,"Dubner, Stephen",science,economics,179,HarperCollins
Orientalism,"Said, Edward",nonfiction,history,197,Penguin
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,data_science,230,Springer
Integration of the Indian States,"Menon, V P",nonfiction,history,217,Orient Blackswan
"Drunkard's Walk, The","Mlodinow, Leonard",science,mathematics,197,Penguin
Image Processing & Mathematical Morphology,"Shih, Frank",tech,signal_processing,241,CRC
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,psychology,240,Penguin
Data Scientists at Work,Sebastian Gutierrez,tech,data_science,230,Apress
Slaughterhouse Five,"Vonnegut, Kurt",fiction,classic,198,Random House
Birth of a Theorem,"Villani, Cedric",science,mathematics,234,Bodley Head
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,computer_science,240,MIT Press
"Age of Wrath, The","Eraly, Abraham",nonfiction,history,238,Penguin
"Trial, The","Kafka, Frank",fiction,classic,198,Random House
Statistical Decision Theory',"Pratt, John",tech,data_science,236,MIT Press
Data Mining Handbook,"Nisbet, Robert",tech,data_science,242,Apress
"New Machiavelli, The","Wells, H. G.",fiction,novel,180,Penguin
Physics & Philosophy,"Heisenberg, Werner",philosophy,science,197,Penguin
Making Software,"Oram, Andy",tech,computer_science,232,O'Reilly
"Analysis, Vol I","Tao, Terence",tech,mathematics,248,HBA
Machine Learning for Hackers,"Conway, Drew",tech,data_science,233,O'Reilly
"Signal and the Noise, The","Silver, Nate",tech,data_science,233,Penguin
Python for Data Analysis,"McKinney, Wes",tech,data_science,233,O'Reilly
Introduction to Algorithms,"Cormen, Thomas",tech,computer_science,234,MIT Press
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,history,198,Penguin
"Outsider, The","Camus, Albert",fiction,classic,198,Penguin
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,classic,176,Random House
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,classic,176,Random House
"Wealth of Nations, The","Smith, Adam",science,economics,175,Random House
"Pillars of the Earth, The","Follett, Ken",fiction,novel,176,Random House
Mein Kampf,"Hitler, Adolf",nonfiction,autobiography,212,Rupa
"Tao of Physics, The","Capra, Fritjof",science,physics,179,Penguin
Surely You're Joking Mr Feynman,"Feynman, Richard",science,physics,198,Random House
"Farewell to Arms, A","Hemingway, Ernest",fiction,classic,179,Rupa
"Veteran, The","Forsyth, Frederick",fiction,novel,177,Transworld
False Impressions,"Archer, Jeffery",fiction,novel,177,Pan
"Last Lecture, The","Pausch, Randy",nonfiction,autobiography,197,Hyperion
Return of the Primitive,"Rand, Ayn",philosophy,objectivism,202,Penguin
Jurassic Park,"Crichton, Michael",fiction,novel,174,Random House
"Russian Journal, A","Steinbeck, John",nonfiction,history,196,Penguin
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,classic,172,HarperCollins
Freakonomics,"Dubner, Stephen",science,economics,197,Penguin
"Hidden Connections, The","Capra, Fritjof",science,physics,197,HarperCollins
"Story of Philosophy, The","Durant, Will",philosophy,history,170,Pocket
Asami Asami,"Deshpande, P L",fiction,novel,205,Mauj
Journal of a Novel,"Steinbeck, John",fiction,classic,196,Penguin
Once There Was a War,"Steinbeck, John",nonfiction,history,196,Penguin
"Moon is Down, The","Steinbeck, John",fiction,classic,196,Penguin
"Brethren, The","Grisham, John",fiction,novel,174,Random House
In a Free State,"Naipaul, V. S.",fiction,novel,196,Rupa
Catch 22,"Heller, Joseph",fiction,classic,178,Random House
"Complete Mastermind, The",BBC,nonfiction,trivia,178,BBC
Dylan on Dylan,"Dylan, Bob",nonfiction,autobiography,197,Random House
Soft Computing & Intelligent Systems,"Gupta, Madan",tech,data_science,242,Elsevier
Textbook of Economic Theory,"Stonier, Alfred",tech,economics,242,Pearson
Econometric Analysis,"Greene, W. H.",tech,economics,242,Pearson
Learning OpenCV,"Bradsky, Gary",tech,signal_processing,232,O'Reilly
Data Structures Using C & C++,"Tanenbaum, Andrew",tech,computer_science,235,Prentice Hall
"Computer Vision, A Modern Approach","Forsyth, David",tech,signal_processing,255,Pearson
Principles of Communication Systems,"Taub, Schilling",tech,signal_processing,240,TMH
Let Us C,"Kanetkar, Yashwant",tech,computer_science,213,Prentice Hall
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,novel,179,Random House
Crime and Punishment,"Dostoevsky, Fyodor",fiction,classic,180,Penguin
Angels & Demons,"Brown, Dan",fiction,novel,178,Random House
"Argumentative Indian, The","Sen, Amartya",nonfiction,history,209,Picador
Sea of Poppies,"Ghosh, Amitav",fiction,novel,197,Penguin
